File 132: Started at 13:12:33, Finished at 13:12:51, Elapsed time: 17.196415019 seconds
File 130: Started at 13:12:33, Finished at 13:12:51, Elapsed time: 17.385444192 seconds
File 111: Started at 13:12:33, Finished at 13:12:51, Elapsed time: 17.750414501 seconds
File 96: Started at 13:12:33, Finished at 13:12:51, Elapsed time: 17.789504506 seconds
File 86: Started at 13:12:33, Finished at 13:12:52, Elapsed time: 18.324418029 seconds
File 17: Started at 13:12:33, Finished at 13:12:52, Elapsed time: 18.382537363 seconds
File 232: Started at 13:12:33, Finished at 13:12:52, Elapsed time: 18.678408170 seconds
File 101: Started at 13:12:33, Finished at 13:12:52, Elapsed time: 18.751895672 seconds
File 227: Started at 13:12:33, Finished at 13:12:53, Elapsed time: 19.270843020 seconds
File 45: Started at 13:12:33, Finished at 13:12:53, Elapsed time: 19.388239383 seconds
File 104: Started at 13:12:33, Finished at 13:12:53, Elapsed time: 19.467200278 seconds
File 56: Started at 13:12:33, Finished at 13:12:53, Elapsed time: 19.820739082 seconds
File 121: Started at 13:12:33, Finished at 13:12:53, Elapsed time: 20.043427306 seconds
File 83: Started at 13:12:33, Finished at 13:12:54, Elapsed time: 20.356842869 seconds
File 87: Started at 13:12:33, Finished at 13:12:54, Elapsed time: 20.411160652 seconds
File 44: Started at 13:12:33, Finished at 13:12:54, Elapsed time: 20.503536304 seconds
File 90: Started at 13:12:33, Finished at 13:12:54, Elapsed time: 20.971274095 seconds
File 126: Started at 13:12:33, Finished at 13:12:54, Elapsed time: 20.988765342 seconds
File 102: Started at 13:12:33, Finished at 13:12:55, Elapsed time: 21.458633905 seconds
File 107: Started at 13:12:33, Finished at 13:12:55, Elapsed time: 21.511726202 seconds
File 59: Started at 13:12:33, Finished at 13:12:55, Elapsed time: 22.089576392 seconds
File 110: Started at 13:12:33, Finished at 13:12:55, Elapsed time: 22.137570495 seconds
File 99: Started at 13:12:33, Finished at 13:12:56, Elapsed time: 22.186302203 seconds
File 88: Started at 13:12:33, Finished at 13:12:56, Elapsed time: 22.212563509 seconds
File 73: Started at 13:12:33, Finished at 13:12:56, Elapsed time: 22.599332504 seconds
File 97: Started at 13:12:33, Finished at 13:12:56, Elapsed time: 23.043689568 seconds
File 127: Started at 13:12:33, Finished at 13:12:56, Elapsed time: 23.070330411 seconds
File 270: Started at 13:12:33, Finished at 13:12:57, Elapsed time: 23.175949310 seconds
File 93: Started at 13:12:33, Finished at 13:12:57, Elapsed time: 23.544155474 seconds
File 138: Started at 13:12:33, Finished at 13:12:57, Elapsed time: 23.860483174 seconds
File 94: Started at 13:12:33, Finished at 13:12:57, Elapsed time: 23.960337271 seconds
File 78: Started at 13:12:33, Finished at 13:12:57, Elapsed time: 24.142933593 seconds
File 188: Started at 13:12:33, Finished at 13:12:58, Elapsed time: 24.269476324 seconds
File 117: Started at 13:12:33, Finished at 13:12:58, Elapsed time: 24.918407986 seconds
File 91: Started at 13:12:33, Finished at 13:12:58, Elapsed time: 24.957612071 seconds
File 142: Started at 13:12:33, Finished at 13:12:58, Elapsed time: 25.007424055 seconds
File 235: Started at 13:12:33, Finished at 13:12:58, Elapsed time: 25.053170087 seconds
File 124: Started at 13:12:33, Finished at 13:12:59, Elapsed time: 25.445716386 seconds
File 14: Started at 13:12:33, Finished at 13:12:59, Elapsed time: 25.933761732 seconds
File 42: Started at 13:12:33, Finished at 13:12:59, Elapsed time: 26.041268261 seconds
File 32: Started at 13:12:33, Finished at 13:12:59, Elapsed time: 26.103470297 seconds
File 89: Started at 13:12:33, Finished at 13:13:00, Elapsed time: 26.499740427 seconds
File 48: Started at 13:12:33, Finished at 13:13:00, Elapsed time: 26.513774671 seconds
File 287: Started at 13:12:33, Finished at 13:13:00, Elapsed time: 26.940909735 seconds
File 10: Started at 13:12:33, Finished at 13:13:00, Elapsed time: 27.093014364 seconds
File 115: Started at 13:12:33, Finished at 13:13:01, Elapsed time: 27.416807579 seconds
File 222: Started at 13:12:33, Finished at 13:13:01, Elapsed time: 27.680553368 seconds
File 108: Started at 13:12:33, Finished at 13:13:01, Elapsed time: 28.053328461 seconds
File 76: Started at 13:12:33, Finished at 13:13:01, Elapsed time: 28.070072011 seconds
File 119: Started at 13:12:33, Finished at 13:13:02, Elapsed time: 28.186987517 seconds
File 74: Started at 13:12:33, Finished at 13:13:02, Elapsed time: 28.296557547 seconds
File 172: Started at 13:12:33, Finished at 13:13:02, Elapsed time: 28.716897785 seconds
File 143: Started at 13:12:33, Finished at 13:13:02, Elapsed time: 28.830125627 seconds
File 194: Started at 13:12:33, Finished at 13:13:03, Elapsed time: 29.172104546 seconds
File 292: Started at 13:12:33, Finished at 13:13:03, Elapsed time: 29.344434710 seconds
File 135: Started at 13:12:33, Finished at 13:13:03, Elapsed time: 29.521707278 seconds
File 114: Started at 13:12:33, Finished at 13:13:03, Elapsed time: 29.936007024 seconds
File 122: Started at 13:12:33, Finished at 13:13:03, Elapsed time: 29.972878898 seconds
File 271: Started at 13:12:33, Finished at 13:13:03, Elapsed time: 30.077821382 seconds
File 113: Started at 13:12:33, Finished at 13:13:04, Elapsed time: 30.607937168 seconds
File 80: Started at 13:12:33, Finished at 13:13:04, Elapsed time: 30.840186407 seconds
File 144: Started at 13:12:33, Finished at 13:13:04, Elapsed time: 30.860391771 seconds
File 109: Started at 13:12:33, Finished at 13:13:05, Elapsed time: 31.163281615 seconds
File 147: Started at 13:12:33, Finished at 13:13:05, Elapsed time: 31.519219058 seconds
File 139: Started at 13:12:33, Finished at 13:13:05, Elapsed time: 31.855116985 seconds
File 129: Started at 13:12:33, Finished at 13:13:05, Elapsed time: 31.956328495 seconds
File 58: Started at 13:12:33, Finished at 13:13:05, Elapsed time: 31.991186009 seconds
File 118: Started at 13:12:33, Finished at 13:13:06, Elapsed time: 32.581541631 seconds
File 148: Started at 13:12:33, Finished at 13:13:06, Elapsed time: 32.623377752 seconds
File 396: Started at 13:12:33, Finished at 13:13:06, Elapsed time: 32.706106330 seconds
File 151: Started at 13:12:33, Finished at 13:13:06, Elapsed time: 32.929989259 seconds
File 177: Started at 13:12:33, Finished at 13:13:07, Elapsed time: 33.540491514 seconds
File 141: Started at 13:12:33, Finished at 13:13:07, Elapsed time: 33.718077673 seconds
File 13: Started at 13:12:33, Finished at 13:13:07, Elapsed time: 33.761002879 seconds
File 168: Started at 13:12:33, Finished at 13:13:07, Elapsed time: 33.950536881 seconds
File 149: Started at 13:12:33, Finished at 13:13:08, Elapsed time: 34.278506196 seconds
File 140: Started at 13:12:33, Finished at 13:13:08, Elapsed time: 34.737910017 seconds
File 275: Started at 13:12:33, Finished at 13:13:08, Elapsed time: 34.899819989 seconds
File 145: Started at 13:12:33, Finished at 13:13:08, Elapsed time: 34.904210189 seconds
File 399: Started at 13:12:33, Finished at 13:13:08, Elapsed time: 34.940044559 seconds
File 100: Started at 13:12:33, Finished at 13:13:09, Elapsed time: 35.244880903 seconds
File 184: Started at 13:12:33, Finished at 13:13:09, Elapsed time: 35.488762308 seconds
File 131: Started at 13:12:33, Finished at 13:13:09, Elapsed time: 35.900531925 seconds
File 212: Started at 13:12:33, Finished at 13:13:09, Elapsed time: 35.923221588 seconds
File 165: Started at 13:12:33, Finished at 13:13:10, Elapsed time: 36.380995357 seconds
File 228: Started at 13:12:33, Finished at 13:13:10, Elapsed time: 36.559307452 seconds
File 112: Started at 13:12:33, Finished at 13:13:10, Elapsed time: 36.635108993 seconds
File 178: Started at 13:12:33, Finished at 13:13:11, Elapsed time: 37.180091880 seconds
File 411: Started at 13:12:33, Finished at 13:13:11, Elapsed time: 37.178553367 seconds
File 400: Started at 13:12:33, Finished at 13:13:11, Elapsed time: 37.280101806 seconds
File 57: Started at 13:12:33, Finished at 13:13:11, Elapsed time: 37.579948234 seconds
File 134: Started at 13:12:33, Finished at 13:13:11, Elapsed time: 37.768590840 seconds
File 467: Started at 13:12:33, Finished at 13:13:12, Elapsed time: 38.192145761 seconds
File 166: Started at 13:12:33, Finished at 13:13:12, Elapsed time: 38.346989857 seconds
File 205: Started at 13:12:33, Finished at 13:13:12, Elapsed time: 38.686699547 seconds
File 164: Started at 13:12:33, Finished at 13:13:12, Elapsed time: 38.751965458 seconds
File 240: Started at 13:12:33, Finished at 13:13:12, Elapsed time: 38.978661083 seconds
File 260: Started at 13:12:33, Finished at 13:13:12, Elapsed time: 39.022661334 seconds
File 328: Started at 13:12:33, Finished at 13:13:13, Elapsed time: 39.321323419 seconds
File 169: Started at 13:12:33, Finished at 13:13:13, Elapsed time: 39.548862831 seconds
File 180: Started at 13:12:33, Finished at 13:13:13, Elapsed time: 39.834340237 seconds
File 388: Started at 13:12:33, Finished at 13:13:13, Elapsed time: 40.074428889 seconds
File 230: Started at 13:12:33, Finished at 13:13:14, Elapsed time: 40.272572620 seconds
File 299: Started at 13:12:33, Finished at 13:13:14, Elapsed time: 40.481623229 seconds
File 263: Started at 13:12:33, Finished at 13:13:14, Elapsed time: 41.036065880 seconds
File 433: Started at 13:12:33, Finished at 13:13:14, Elapsed time: 41.056711303 seconds
File 152: Started at 13:12:33, Finished at 13:13:14, Elapsed time: 41.089701786 seconds
File 41: Started at 13:12:33, Finished at 13:13:14, Elapsed time: 41.123319468 seconds
