File 135: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .083499002 seconds
File 63: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .078245379 seconds
File 180: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .070158921 seconds
File 148: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .024473121 seconds
File 121: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .125685099 seconds
File 102: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .087499310 seconds
File 229: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .082708355 seconds
File 42: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .090357285 seconds
File 103: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .096870451 seconds
File 137: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .086760884 seconds
File 177: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .050793673 seconds
File 66: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .058248064 seconds
File 140: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .196743155 seconds
File 203: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .095706677 seconds
File 216: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .054293055 seconds
File 77: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .107855843 seconds
File 2: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .072663558 seconds
File 35: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .035381214 seconds
File 132: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .087972068 seconds
File 67: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .074392049 seconds
File 38: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .061931534 seconds
File 224: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .048900713 seconds
File 123: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .062370162 seconds
File 45: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .154146250 seconds
File 116: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .056701922 seconds
File 78: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .098091585 seconds
File 87: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .080439027 seconds
File 98: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .051810148 seconds
File 31: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .091247051 seconds
File 81: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .081235633 seconds
File 104: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .089004222 seconds
File 193: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .098249553 seconds
File 226: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .115958270 seconds
File 47: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .087081142 seconds
File 183: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .094935731 seconds
File 20: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .089546089 seconds
File 110: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .095794267 seconds
File 164: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .066045834 seconds
File 154: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .078330408 seconds
File 127: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .095539777 seconds
File 151: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .083195153 seconds
File 198: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .075897631 seconds
File 508: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .053288139 seconds
File 277: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .116017851 seconds
File 325: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .063286677 seconds
File 97: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .086227306 seconds
File 174: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .172496873 seconds
File 65: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .038514487 seconds
File 88: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .078663897 seconds
File 188: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .068687719 seconds
File 344: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .056386975 seconds
File 41: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .116018550 seconds
File 143: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .121796110 seconds
File 144: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .120863875 seconds
File 221: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .116040210 seconds
File 125: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .138223094 seconds
File 260: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .118156288 seconds
File 169: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .070363929 seconds
File 279: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .054464075 seconds
File 153: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .101363818 seconds
File 170: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .074024122 seconds
File 190: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .053157891 seconds
File 254: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .063916874 seconds
File 136: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .103181627 seconds
File 39: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .135880586 seconds
File 162: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .115825471 seconds
File 339: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .069008227 seconds
File 367: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .025833405 seconds
File 107: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .166012718 seconds
File 57: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .162935264 seconds
File 124: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .193565782 seconds
File 340: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .069370046 seconds
File 16: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .165745799 seconds
File 253: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .054019796 seconds
File 49: Started at 12:17:32, Finished at 12:17:32, Elapsed time: .072401450 seconds
