File 237: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .115612011 seconds
File 225: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .199077871 seconds
File 31: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .062156941 seconds
File 180: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .290188097 seconds
File 199: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .065704416 seconds
File 278: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .256597242 seconds
File 59: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .100132868 seconds
File 98: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .273799838 seconds
File 248: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .244852133 seconds
File 170: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .249124524 seconds
File 175: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .120161060 seconds
File 106: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .084499295 seconds
File 255: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .168286773 seconds
File 235: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .267103086 seconds
File 49: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .048295062 seconds
File 84: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .149494924 seconds
File 143: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .134824548 seconds
File 65: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .326455680 seconds
File 198: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .115607210 seconds
File 218: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .131041254 seconds
File 120: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .120474859 seconds
File 140: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .140670723 seconds
File 153: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .140810152 seconds
File 219: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .138450592 seconds
File 236: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .089039066 seconds
File 40: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .172930043 seconds
File 169: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .108529212 seconds
File 86: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .112046526 seconds
File 186: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .249225254 seconds
File 41: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .046399210 seconds
File 139: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .208110622 seconds
File 269: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .169297090 seconds
File 18: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .270253533 seconds
File 123: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .146846016 seconds
File 171: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .206621498 seconds
File 234: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .084628134 seconds
File 122: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .152503782 seconds
File 94: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .168606872 seconds
File 150: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .270446602 seconds
File 240: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .107338907 seconds
File 90: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .149364225 seconds
File 22: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .178624468 seconds
File 215: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .140280344 seconds
File 254: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .120032042 seconds
File 217: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .158688915 seconds
File 224: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .165403926 seconds
File 96: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .269628716 seconds
File 25: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .081658838 seconds
File 112: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .223963603 seconds
File 16: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .045677263 seconds
File 44: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .173918109 seconds
File 104: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .198135544 seconds
File 46: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .165828084 seconds
File 160: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .167230527 seconds
File 147: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .135748114 seconds
File 12: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .280978717 seconds
File 36: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .216153996 seconds
File 38: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .257010311 seconds
File 63: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .294201030 seconds
File 20: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .070381176 seconds
File 88: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .147880711 seconds
File 273: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .269746466 seconds
File 85: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .306478207 seconds
File 30: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .296987558 seconds
File 145: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .131809261 seconds
File 161: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .187242022 seconds
File 128: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .174024779 seconds
File 130: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .235250535 seconds
File 166: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .131872540 seconds
File 151: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .205951261 seconds
File 47: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .210493011 seconds
File 253: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .113819198 seconds
File 260: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .106845398 seconds
File 263: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .192836328 seconds
File 157: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .205210064 seconds
File 177: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .174552227 seconds
File 81: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .286348343 seconds
File 264: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .292256948 seconds
File 78: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .091726313 seconds
File 115: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .380642247 seconds
File 181: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .311731734 seconds
File 69: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .197821376 seconds
File 229: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .305971339 seconds
File 91: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .180377761 seconds
File 284: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .309056046 seconds
File 205: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .352090060 seconds
File 330: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .341268976 seconds
File 380: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .321773831 seconds
File 70: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .408939805 seconds
File 261: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .338622338 seconds
File 251: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .287933007 seconds
File 159: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .409939570 seconds
File 142: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .417997285 seconds
File 262: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .376429935 seconds
File 220: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .369460815 seconds
File 93: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .413659645 seconds
File 144: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .336878195 seconds
File 250: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .331645848 seconds
File 184: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .399994624 seconds
File 95: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .419982816 seconds
File 108: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .441263195 seconds
File 116: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .387069119 seconds
File 73: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .416253942 seconds
File 187: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .161925051 seconds
File 52: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .429152957 seconds
File 178: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .342485781 seconds
File 152: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .400701700 seconds
File 612: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .308409859 seconds
File 176: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .415530926 seconds
File 613: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .299337768 seconds
File 319: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .354842799 seconds
File 62: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .431080279 seconds
File 208: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .388326214 seconds
File 314: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .372497362 seconds
File 636: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .344824132 seconds
File 265: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .379567722 seconds
File 257: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .355611675 seconds
File 134: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .398084331 seconds
File 196: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .334324666 seconds
File 124: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .348427696 seconds
File 307: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .292971776 seconds
File 571: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .363593390 seconds
File 207: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .339974912 seconds
File 295: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .365644392 seconds
File 192: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .449102672 seconds
File 168: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .435666469 seconds
File 318: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .375681788 seconds
File 306: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .404579403 seconds
File 510: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .288889943 seconds
File 34: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .458041522 seconds
File 592: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .323776842 seconds
File 383: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .317745988 seconds
File 316: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .375236560 seconds
File 461: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .394842545 seconds
File 194: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .480400946 seconds
File 137: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .371259487 seconds
File 297: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .330077615 seconds
File 442: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .409816600 seconds
File 209: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .401277058 seconds
File 532: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .389609678 seconds
File 211: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .475012889 seconds
File 15: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .507472719 seconds
File 329: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .372793971 seconds
File 156: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .393983579 seconds
File 406: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .393516822 seconds
File 433: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .403714247 seconds
File 241: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .305606150 seconds
File 294: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .356670690 seconds
File 459: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .395653762 seconds
File 286: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .382730078 seconds
File 426: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .401845245 seconds
File 244: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .410054919 seconds
File 232: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .460532992 seconds
File 644: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .376070756 seconds
File 595: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .300486683 seconds
File 190: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .441071076 seconds
File 391: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .423563272 seconds
File 423: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .353463844 seconds
File 158: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .492705693 seconds
File 246: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .337884891 seconds
File 615: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .370173742 seconds
File 155: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .367905382 seconds
File 79: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .470066731 seconds
File 706: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .341870494 seconds
File 87: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .415641155 seconds
File 637: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .364635136 seconds
File 336: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .340980379 seconds
File 434: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .374022435 seconds
File 638: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .370865549 seconds
File 567: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .426492889 seconds
File 541: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .414263402 seconds
File 141: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .380618076 seconds
File 74: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .557802782 seconds
File 389: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .390287125 seconds
File 113: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .496122978 seconds
File 635: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .423689921 seconds
File 163: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .466052378 seconds
File 393: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .353943392 seconds
File 290: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .354377820 seconds
File 419: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .355722184 seconds
File 292: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .365938400 seconds
File 312: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .384478230 seconds
File 222: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .334874634 seconds
File 473: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .337813351 seconds
File 249: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .321719611 seconds
File 321: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .321790361 seconds
File 213: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .517911745 seconds
File 37: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .539809329 seconds
File 55: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .384614910 seconds
File 805: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .337595872 seconds
File 258: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .463193830 seconds
File 132: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .475769876 seconds
File 476: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .337275733 seconds
File 559: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .344238443 seconds
File 275: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .434957262 seconds
File 200: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .450608304 seconds
File 421: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .404640343 seconds
File 247: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .485058646 seconds
File 35: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .388896361 seconds
File 89: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .537743499 seconds
File 223: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .505891846 seconds
File 758: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .344710041 seconds
File 202: Started at 12:25:47, Finished at 12:25:47, Elapsed time: .456586309 seconds
File 645: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .410202039 seconds
File 420: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .437027723 seconds
File 146: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .511899030 seconds
File 179: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .493956998 seconds
File 660: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .334839285 seconds
File 374: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .426906647 seconds
File 322: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .404230965 seconds
File 573: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .353471894 seconds
File 197: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .518388742 seconds
File 675: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .342443062 seconds
File 466: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .408396696 seconds
File 525: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .442939748 seconds
File 279: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .445412946 seconds
File 548: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .395145255 seconds
File 478: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .385595896 seconds
File 167: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .503965305 seconds
File 191: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .511159274 seconds
File 634: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .412432509 seconds
File 80: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .579692167 seconds
File 648: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .424010989 seconds
File 508: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .349172243 seconds
File 362: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .359100249 seconds
File 164: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .536531423 seconds
File 103: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .556745617 seconds
File 382: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .427922442 seconds
File 504: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .358009735 seconds
File 323: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .442152511 seconds
File 497: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .353623483 seconds
File 347: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .348976613 seconds
File 384: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .412075281 seconds
File 417: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .381340624 seconds
File 396: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .378466587 seconds
File 647: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .443866224 seconds
File 600: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .338904997 seconds
File 327: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .488730670 seconds
File 339: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .333781669 seconds
File 274: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .461838137 seconds
File 351: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .359928875 seconds
File 616: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .412150840 seconds
File 432: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .422754435 seconds
File 555: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .346543484 seconds
File 577: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .396496558 seconds
File 404: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .412240830 seconds
File 687: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .403864386 seconds
File 440: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .405095661 seconds
File 285: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .418474134 seconds
File 231: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .505717727 seconds
File 463: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .406353115 seconds
File 703: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .387779596 seconds
File 507: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .381685052 seconds
File 138: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .560106832 seconds
File 453: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .349759210 seconds
File 529: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .384019102 seconds
File 280: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .420145186 seconds
File 452: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .427475524 seconds
File 531: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .448475105 seconds
File 855: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .331910837 seconds
File 381: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .407813089 seconds
File 633: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .398414119 seconds
File 702: Started at 12:25:47, Finished at 12:25:48, Elapsed time: .386002093 seconds
