File 41: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .680901818 seconds
File 87: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .683551373 seconds
File 71: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .695388178 seconds
File 95: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .686464177 seconds
File 83: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .691357261 seconds
File 77: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .697799005 seconds
File 142: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .684472578 seconds
File 79: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .699870643 seconds
File 89: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .703412304 seconds
File 116: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .698932049 seconds
File 143: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .706688246 seconds
File 128: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .709056543 seconds
File 179: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .703401903 seconds
File 32: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .717926135 seconds
File 145: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .703251035 seconds
File 279: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .706401388 seconds
File 114: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .718684862 seconds
File 101: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .721142908 seconds
File 103: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .726144111 seconds
File 164: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .738246404 seconds
File 153: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .731224973 seconds
File 67: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .734182256 seconds
File 162: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .729198423 seconds
File 285: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .726848726 seconds
File 19: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .743060337 seconds
File 213: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .726341059 seconds
File 16: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .768600947 seconds
File 35: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .753926139 seconds
File 22: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .768190930 seconds
File 4: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .774905824 seconds
File 181: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .741002759 seconds
File 170: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .735142391 seconds
File 169: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .739515606 seconds
File 136: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .752876604 seconds
File 149: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .757000852 seconds
File 133: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .750062469 seconds
File 102: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .751084853 seconds
File 315: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .750092249 seconds
File 138: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .741206968 seconds
File 117: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .743924633 seconds
File 141: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .761791415 seconds
File 178: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .762175843 seconds
File 50: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .775695250 seconds
File 74: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .777063052 seconds
File 80: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .769406204 seconds
File 323: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .749975820 seconds
File 318: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .769048276 seconds
File 139: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .759758956 seconds
File 160: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .785412016 seconds
File 166: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .788789648 seconds
File 96: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .781211548 seconds
File 126: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .785292107 seconds
File 208: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .779787616 seconds
File 211: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .782830730 seconds
File 163: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .798195916 seconds
File 140: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .777800537 seconds
File 294: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .790585567 seconds
File 135: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .796891443 seconds
File 23: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .809872462 seconds
File 282: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .784464351 seconds
File 228: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .713277801 seconds
File 158: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .732467346 seconds
File 409: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .753612820 seconds
File 528: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .689208142 seconds
File 571: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .642132620 seconds
File 373: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .697573066 seconds
File 548: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .656232852 seconds
File 522: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .682264550 seconds
File 554: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .675638906 seconds
File 577: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .660676488 seconds
File 250: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .757768988 seconds
File 551: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .669816328 seconds
File 248: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .744599579 seconds
File 585: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .637874283 seconds
File 237: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .689602520 seconds
File 536: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .667108513 seconds
File 595: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .667636689 seconds
File 309: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .667718749 seconds
File 542: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .691957716 seconds
File 238: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .676800879 seconds
File 582: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .691957307 seconds
File 507: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .741210588 seconds
File 668: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .655612895 seconds
File 268: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .684930356 seconds
File 609: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .684762397 seconds
File 580: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .685716791 seconds
File 625: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .696389522 seconds
File 601: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .692169326 seconds
File 557: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .700888178 seconds
File 650: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .669101573 seconds
File 317: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .700037793 seconds
File 638: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .675242039 seconds
File 564: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .674109234 seconds
File 527: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .783083628 seconds
File 223: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .822045506 seconds
File 144: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .811326154 seconds
File 353: Started at 12:12:21, Finished at 12:12:22, Elapsed time: .813004575 seconds
File 605: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .723663104 seconds
File 376: Started at 12:12:22, Finished at 12:12:22, Elapsed time: .706114170 seconds
