File 1012: Started at 13:17:48, Finished at 13:20:35, Elapsed time: 167.781804264 seconds
File 767: Started at 13:17:48, Finished at 13:20:35, Elapsed time: 167.779710755 seconds
File 514: Started at 13:17:47, Finished at 13:20:35, Elapsed time: 168.055838513 seconds
File 582: Started at 13:17:47, Finished at 13:20:36, Elapsed time: 168.135957207 seconds
File 893: Started at 13:17:48, Finished at 13:20:36, Elapsed time: 168.802557241 seconds
File 23: Started at 13:17:47, Finished at 13:20:37, Elapsed time: 169.321970854 seconds
File 580: Started at 13:17:47, Finished at 13:20:37, Elapsed time: 169.533881018 seconds
File 24: Started at 13:17:47, Finished at 13:20:37, Elapsed time: 170.005199668 seconds
File 101: Started at 13:17:47, Finished at 13:20:37, Elapsed time: 170.006544941 seconds
File 757: Started at 13:17:48, Finished at 13:20:38, Elapsed time: 170.065293219 seconds
File 560: Started at 13:17:47, Finished at 13:20:38, Elapsed time: 170.268181043 seconds
File 423: Started at 13:17:47, Finished at 13:20:38, Elapsed time: 170.403636945 seconds
File 956: Started at 13:17:48, Finished at 13:20:38, Elapsed time: 170.265086728 seconds
File 716: Started at 13:17:47, Finished at 13:20:38, Elapsed time: 170.994219507 seconds
File 695: Started at 13:17:47, Finished at 13:20:39, Elapsed time: 171.061818447 seconds
File 44: Started at 13:17:47, Finished at 13:20:39, Elapsed time: 171.417121114 seconds
File 1002: Started at 13:17:48, Finished at 13:20:39, Elapsed time: 171.264974842 seconds
File 825: Started at 13:17:48, Finished at 13:20:39, Elapsed time: 171.248828058 seconds
File 704: Started at 13:17:47, Finished at 13:20:39, Elapsed time: 171.452073042 seconds
File 163: Started at 13:17:47, Finished at 13:20:39, Elapsed time: 171.680889093 seconds
File 139: Started at 13:17:47, Finished at 13:20:39, Elapsed time: 171.880645013 seconds
File 401: Started at 13:17:47, Finished at 13:20:39, Elapsed time: 171.756629978 seconds
File 792: Started at 13:17:48, Finished at 13:20:39, Elapsed time: 171.777242602 seconds
File 322: Started at 13:17:47, Finished at 13:20:40, Elapsed time: 172.113456419 seconds
File 764: Started at 13:17:48, Finished at 13:20:40, Elapsed time: 172.058715848 seconds
File 859: Started at 13:17:48, Finished at 13:20:40, Elapsed time: 172.148441976 seconds
File 350: Started at 13:17:47, Finished at 13:20:40, Elapsed time: 172.401508634 seconds
File 407: Started at 13:17:48, Finished at 13:20:40, Elapsed time: 172.406177503 seconds
File 667: Started at 13:17:48, Finished at 13:20:40, Elapsed time: 172.399071795 seconds
File 559: Started at 13:17:47, Finished at 13:20:40, Elapsed time: 172.952902209 seconds
File 729: Started at 13:17:48, Finished at 13:20:40, Elapsed time: 172.947544884 seconds
File 334: Started at 13:17:47, Finished at 13:20:41, Elapsed time: 173.128417063 seconds
File 776: Started at 13:17:48, Finished at 13:20:41, Elapsed time: 173.073218134 seconds
File 804: Started at 13:17:48, Finished at 13:20:41, Elapsed time: 173.266377195 seconds
File 990: Started at 13:17:48, Finished at 13:20:41, Elapsed time: 173.619267484 seconds
File 916: Started at 13:17:48, Finished at 13:20:41, Elapsed time: 173.488844359 seconds
File 1: Started at 13:17:47, Finished at 13:20:41, Elapsed time: 173.929853519 seconds
File 897: Started at 13:17:48, Finished at 13:20:41, Elapsed time: 173.732662681 seconds
File 55: Started at 13:17:47, Finished at 13:20:41, Elapsed time: 174.199667281 seconds
File 568: Started at 13:17:47, Finished at 13:20:42, Elapsed time: 174.163919760 seconds
File 65: Started at 13:17:47, Finished at 13:20:42, Elapsed time: 174.531434380 seconds
File 357: Started at 13:17:47, Finished at 13:20:42, Elapsed time: 174.410771799 seconds
File 586: Started at 13:17:47, Finished at 13:20:42, Elapsed time: 174.464860125 seconds
File 193: Started at 13:17:47, Finished at 13:20:42, Elapsed time: 174.577966822 seconds
File 703: Started at 13:17:47, Finished at 13:20:42, Elapsed time: 174.531291432 seconds
File 488: Started at 13:17:47, Finished at 13:20:43, Elapsed time: 175.320366888 seconds
File 1006: Started at 13:17:48, Finished at 13:20:43, Elapsed time: 175.231127190 seconds
File 289: Started at 13:17:47, Finished at 13:20:43, Elapsed time: 175.432115452 seconds
File 292: Started at 13:17:47, Finished at 13:20:43, Elapsed time: 175.800101001 seconds
File 726: Started at 13:17:48, Finished at 13:20:44, Elapsed time: 176.071307895 seconds
File 51: Started at 13:17:47, Finished at 13:20:44, Elapsed time: 176.297613429 seconds
File 733: Started at 13:17:48, Finished at 13:20:44, Elapsed time: 176.024342768 seconds
